Nombre_Articulo,Temperatura,Peso_Bruto,Volumen,Cantidad,Precio_unitario,Precio_descontado,Total_Linea_Soles
PD CANINE K.D 3.3 LB .1.5 KG.,Hasta 30 grados,1.54,0.00594,1,48.51,38.81,38.81
PD CANINE U.D 3.3 LB .1.5 KG.,Hasta 30 grados,1.54,0.00595,1,45.34,36.27,36.27
SD CANINE ADULT L.R SMALL . TOY 4.5 LB .2 K.,Hasta 30 grados,2.04,0.0077,2,54.67,43.74,87.47
SD CANINE ADULT L.R SMALL . TOY 15.5 LB .7 K.,Hasta 30 grados,7.03,0.012992,1,153.2,122.56,122.56
PD CANINE C.D MULTICARE 8.5 LB .3.9 K.,Hasta 30 grados,3.85,0.017,1,119.81,95.85,95.85
SD CANINE ADULT L.R SMB 15.5 LB .7 K.,Hasta 30 grados,7.03,0.0195,2,153.22,122.58,245.15
SD CANINE ADULT LIGHT 33LB .15 K.,Hasta 30 grados,15.9,0.0378,2,248.94,199.15,398.3
SD CANINE ADULT SMALL . TOY 4.5 LB .2 K.,Hasta 30 grados,2.05,0.01131,3,58.57,46.86,140.57
SD FELINE ADULT INDOOR 3.5 LB .1.6 K.,Hasta 30 grados,1.58,0.00435,2,66.38,53.1,106.21
SD FELINE ADULT OPTIMAL CARE 4 LB .1.8 K. .6797C.,Hasta 30 grados,1.8,0.00415,2,63.56,50.85,101.7
SD FELINE 7. ACTIVE LONGEVITY 4 LB .1.8 K.?,Hasta 30 grados,1.81,0.004,2,68.33,54.66,109.33
SD FELINE ADULT HAIRBALL CONTROL 3.5 LB .1.6 K.,Hasta 30 grados,1.58,0.00435,3,65.41,52.33,156.98
PD FELINE I.D DRY 4 LB .1.8 K.,Hasta 30 grados,1.85,0.00624,2,76.14,60.91,121.82
SD PUPPY H. DEVELOPMENT SMB 4.5 LB .2 K.,Hasta 30 grados,2.04,0.0053,3,59.54,47.63,142.9
SD PUPPY SMB 15.5 LB .7 K.,Hasta 30 grados,7.03,0.0182,1,158,126.4,126.4
SD CANINE ADULT SMB 5 LB .2.27 K.,Hasta 30 grados,2.26,0.006,4,60.52,48.42,193.66
SD CANINE 7 . ACTIVE LONGEVITY SMB 5 LB .2.25 K.,Hasta 30 grados,2.26,0.006,1,60.52,48.42,48.42
SD CANINE ADULT L.R SMB 4.5 LB .2 K.,Hasta 30 grados,2.04,0.0051,3,54.68,43.74,131.23
SD CANINE ADULT SMB 17.5 LB .8 K.,Hasta 30 grados,7.94,0.0203,1,143.64,114.91,114.91
SD FELINE ADULT LIGHT 4 LB .1.8 K.,Hasta 30 grados,1.81,0.004,2,68.68,54.94,109.89
SD FELINE ADULT OPTIMAL CARE 4 LB .1.8 K. .6797C.,Hasta 30 grados,1.8,0.00415,3,63.56,50.85,152.54
SD KITTEN H. DEVELOPMENT 3.5 LB .1.6 K.,Hasta 30 grados,1.58,0.00345,2,66.38,53.1,106.21
SD FELINE ADULT HAIRBALL CONTROL 7 LB .3.2 K.,Hasta 30 grados,3.17,0.00765,2,123.01,98.41,196.82
PD FELINE I.D DRY 4 LB .1.8 K.,Hasta 30 grados,1.85,0.00624,1,76.14,60.91,60.91
KLIN KAT 5KG .Bolsa.,Hasta 30 grados,5,0.006517,5,19.87,14.83,74.15
KLIN KAT 20KG,Hasta 30 grados,20,0.0363,10,71.06,53.05,530.53
PD FELINE C.D MULTICARE 4 LB .1.8 K.,Hasta 30 grados,1.81,0.00464,6,76.14,60.91,365.47
PD CANINE R.D DRY 8.5 LB .3.9 K.,Hasta 30 grados,3.85,0.01541,5,109.69,87.75,438.76
PD CANINE U.D DRY 8.5 LB .3.9 K.,Hasta 30 grados,3.85,0.009563,2,102.53,82.02,164.05
PD CANINE W.D DRY 8.5 LB .3.9 K.,Hasta 30 grados,3.85,0.015876,3,96.12,76.9,230.69
SD FELINE ADULT OPTIMAL CARE 7LB .3.2 K.,Hasta 30 grados,3.18,0.0054,2,106.63,85.3,170.61
SD PUPPY SMALL . TOY 4.5 LB .2 K.,Hasta 30 grados,2.04,0.0051,2,59.54,47.63,95.26
SD CANINE ADULT SMALL . TOY 4.5 LB .2 K.,Hasta 30 grados,2.05,0.01131,2,58.57,46.86,93.71
PD CANINE I.D LOW FAT 8.5 LB .3.9 K.,Hasta 30 grados,3.85,0.00777,6,119.81,95.85,575.09
PD CANINE I.D 17.6 LB .8 K.,Hasta 30 grados,8.12,0.022,1,201.31,161.05,161.05
SD KITTEN H. DEVELOPMENT 7 LB .3.2 K.,Hasta 30 grados,3.17,0.00756,2,115.2,80.64,161.28
SD KITTEN H. DEVELOPMENT 7 LB .3.2 K.,Hasta 30 grados,3.17,0.00756,2,115.2,80.64,161.28
PD FELINE S.D DRY 4 LB .1.8 K.,Hasta 30 grados,1.8,0.00526,6,80.06,56.04,336.25
PD FELINE S.D DRY 4 LB .1.8 K.,Hasta 30 grados,1.8,0.00526,6,80.06,56.04,336.25
PD CANINE Z.D ULTRA 8 LB .3.6 K.,Hasta 30 grados,3.63,0.013608,5,147.2,103.04,515.2
PD CANINE Z.D ULTRA 8 LB .3.6 K.,Hasta 30 grados,3.63,0.013608,5,147.2,103.04,515.2
PD CANINE J.D DRY 27.5 LB .12.5 K.,Hasta 30 grados,12.5,0.0312,1,306.07,214.25,214.25
PD CANINE J.D DRY 27.5 LB .12.5 K.,Hasta 30 grados,12.5,0.0312,1,306.07,214.25,214.25
PD CANINE I.D DRY 8.5 LB .3.9 K.,Hasta 30 grados,3.85,0.011172,4,112.82,78.97,315.9
PD CANINE I.D DRY 8.5 LB .3.9 K.,Hasta 30 grados,3.85,0.011172,4,112.82,78.97,315.9
PD CANINE K.D DRY 8.5 LB .3.9 K.,Hasta 30 grados,3.85,0.0099,9,109.69,76.78,691.05
PD CANINE K.D DRY 8.5 LB .3.9 K.,Hasta 30 grados,3.85,0.0099,9,109.69,76.78,691.05
PD CANINE K.D DRY 17.6 LB .8 K.,Hasta 30 grados,7.9,0.0215,15,217.3,152.11,"2,281.65"
PD CANINE K.D DRY 17.6 LB .8 K.,Hasta 30 grados,7.9,0.0215,15,217.3,152.11,"2,281.65"
PD CANINE L.D DRY 17.6 LB .8 K.,Hasta 30 grados,7.98,0.02709,3,258.91,181.24,543.71
PD CANINE L.D DRY 17.6 LB .8 K.,Hasta 30 grados,7.98,0.02709,3,258.91,181.24,543.71
PD CANINE R.D DRY 8.5 LB .3.9 K.,Hasta 30 grados,3.85,0.01541,2,109.69,76.78,153.57
PD CANINE R.D DRY 8.5 LB .3.9 K.,Hasta 30 grados,3.85,0.01541,2,109.69,76.78,153.57
PD CANINE U.D DRY 8.5 LB .3.9 K.,Hasta 30 grados,3.85,0.009563,8,102.53,71.77,574.17
PD CANINE U.D DRY 8.5 LB .3.9 K.,Hasta 30 grados,3.85,0.009563,8,102.53,71.77,574.17
PD CANINE W.D DRY 8.5 LB .3.9 K.,Hasta 30 grados,3.85,0.015876,8,96.12,67.28,538.27
PD CANINE W.D DRY 8.5 LB .3.9 K.,Hasta 30 grados,3.85,0.015876,8,96.12,67.28,538.27
PD FELINE C.D MULTICARE 4 LB .1.8 K.,Hasta 30 grados,1.81,0.00464,36,76.14,53.3,"1,918.73"
PD FELINE C.D MULTICARE 4 LB .1.8 K.,Hasta 30 grados,1.81,0.00464,36,76.14,53.3,"1,918.73"
SD CANINE ADULT L.R SMB 15.5 LB .7 K.,Hasta 30 grados,7.03,0.0195,4,122.56,122.56,490.24
SD CANINE ADULT L.R 33 LB .15 K.,Hasta 30 grados,15.9,0.0401,2,205.29,205.29,410.58
SD CANINE ADULT SMB 5 LB .2.27 K.,Hasta 30 grados,2.26,0.006,12,60.52,40.55,486.58
SD CANINE ADULT SMB 17.5 LB .8 K.,Hasta 30 grados,7.94,0.0203,12,143.64,96.24,"1,154.87"
SD CANINE 7 . ACTIVE LONGEVITY SMB 17.5 LB .8 K.,Hasta 30 grados,7.94,0.02,12,148.43,99.45,"1,193.38"
SD FELINE 7. ACTIVE LONGEVITY 4 LB .1.8 K.?,Hasta 30 grados,1.81,0.004,12,68.33,45.78,549.37
